year,month,day,hour,lat,depth,lon
2017,10,23,20,-43.38514164850761,3285,55.604152930728866
2017,10,23,20,-43.384118720224286,3286,55.60466297778774
2017,10,23,21,-43.386504122016476,3287,55.59426041912133
2017,10,23,21,-43.390385492138854,3288,55.58386929322873
2017,10,23,21,-43.39044648479041,3289,55.58396715349964
2017,10,23,21,-43.39067948979152,3290,55.58405637102109
2017,10,23,22,-43.39473297117951,3291,55.57520143023508
2017,10,23,22,-43.39514889915123,3292,55.57558627222994
2017,10,23,22,-43.39518593162432,3293,55.57551355339189
2017,10,23,22,-43.398623158829295,3294,55.565039317631594
2017,10,23,22,-43.398457722188475,3295,55.56465161883946
2017,10,23,22,-43.4014504742921,3296,55.55614662689723
2017,10,23,22,-43.40117977713354,3297,55.55519523879461
2017,10,23,22,-43.40107062459011,3298,55.55521221184396
2017,10,23,22,-43.40120089190745,3299,55.55523304291298
2017,10,23,23,-43.40424970504243,3300,55.5448622989
2017,10,23,23,-43.40450777952487,3301,55.54538495416787
2017,10,23,23,-43.40423584890585,3302,55.54493720923213
2017,10,23,23,-43.404673132502396,3303,55.5450526698497
2017,10,23,23,-43.40558696578609,3304,55.535083026717466
2017,10,23,23,-43.4055633028097,3305,55.535053729180994
2017,10,23,23,-43.40554898341162,3306,55.5351515055086
2017,10,23,23,-43.40861786567665,3307,55.527073436967754
2017,10,23,23,-43.40880016754444,3308,55.52722084367919
2017,10,24,0,-43.41230455643626,3309,55.51962522784362
2017,10,24,0,-43.41228464314525,3310,55.51995033370874
2017,10,24,0,-43.41222904402048,3311,55.519547086499216
2017,10,24,0,-43.41308747970775,3312,55.51302297679079
2017,10,24,0,-43.413475268902864,3313,55.51358833826532
2017,10,24,0,-43.413153622507046,3314,55.513029395383825
2017,10,24,0,-43.41402332637808,3315,55.500860552742616
2017,10,24,0,-43.41388053860479,3316,55.50151411499794
2017,10,24,1,-43.41391467908285,3317,55.49360484012872
2017,10,24,1,-43.41512642407731,3318,55.481065310643004
2017,10,24,1,-43.415442265850075,3319,55.48136445941093
2017,10,24,1,-43.415423633696726,3320,55.481935674051456
2017,10,24,1,-43.41524630483917,3321,55.48118335774203
2017,10,24,2,-43.415333558358896,3322,55.47087598220638
2017,10,24,2,-43.41543229499965,3323,55.47100600380158
2017,10,24,2,-43.41542451827826,3324,55.470753132528685
2017,10,24,2,-43.41426487608158,3325,55.459931000783385
